﻿date,instrument,tenor,yield
46097,국고채,2,3.175
46097,국고채,2.5,3.215
46097,국고채,3,3.306
46097,국고채,4,3.523
46097,국고채,5,3.562
46097,국고채,7,3.661
46097,국고채,10,3.68
46097,국고채,15,3.732
46097,국고채,20,3.69
46097,국고채,30,3.587
46094,국고채,0.25,2.591
46094,국고채,0.5,2.688
46094,국고채,0.75,2.746
46094,국고채,1,2.833
46094,국고채,1.5,3.01
46094,국고채,2,3.19
46094,국고채,2.5,3.255
46094,국고채,3,3.332
46094,국고채,4,3.54
46094,국고채,5,3.56
46094,국고채,7,3.673
46094,국고채,10,3.7
46094,국고채,15,3.752
46094,국고채,20,3.705
46094,국고채,30,3.6
46093,국고채,0.25,2.595
46093,국고채,0.5,2.691
46093,국고채,0.75,2.745
46093,국고채,1,2.816
46093,국고채,1.5,2.973
46093,국고채,2,3.135
46093,국고채,2.5,3.19
46093,국고채,3,3.265
46093,국고채,4,3.467
46093,국고채,5,3.483
46093,국고채,7,3.61
46093,국고채,10,3.649
46093,국고채,15,3.7
46093,국고채,20,3.65
46093,국고채,30,3.559
46092,국고채,0.25,2.586
46092,국고채,0.5,2.69
46092,국고채,0.75,2.743
46092,국고채,1,2.81
46092,국고채,1.5,2.97
46092,국고채,2,3.126
46092,국고채,2.5,3.18
46092,국고채,3,3.25
46092,국고채,4,3.452
46092,국고채,5,3.47
46092,국고채,7,3.585
46092,국고채,10,3.612
46092,국고채,15,3.665
46092,국고채,20,3.615
46092,국고채,30,3.505
46091,국고채,0.25,2.571
46091,국고채,0.5,2.673
46091,국고채,0.75,2.75
46091,국고채,1,2.833
46091,국고채,1.5,3
46091,국고채,2,3.157
46091,국고채,2.5,3.209
46091,국고채,3,3.28
46091,국고채,4,3.475
46091,국고채,5,3.505
46091,국고채,7,3.614
46091,국고채,10,3.619
46091,국고채,15,3.671
46091,국고채,20,3.62
46091,국고채,30,3.505
46090,국고채,0.25,2.544
46090,국고채,0.5,2.621
46090,국고채,0.75,2.72
46090,국고채,1,2.808
46090,국고채,1.5,3.021
46090,국고채,2,3.098
46090,국고채,2.5,3.335
46090,국고채,3,3.4
46090,국고채,4,3.51
46090,국고채,5,3.64
46090,국고채,7,3.73
46090,국고채,10,3.742
46090,국고채,15,3.776
46090,국고채,20,3.7
46090,국고채,30,3.594
46087,국고채,0.25,2.512
46087,국고채,0.5,2.583
46087,국고채,0.75,2.686
46087,국고채,1,2.76
46087,국고채,1.5,2.923
46087,국고채,2,2.97
46087,국고채,2.5,3.16
46087,국고채,3,3.222
46087,국고채,4,3.326
46087,국고채,5,3.472
46087,국고채,7,3.583
46087,국고채,10,3.617
46087,국고채,15,3.669
46087,국고채,20,3.615
46087,국고채,30,3.517
46086,국고채,0.25,2.505
46086,국고채,0.5,2.568
46086,국고채,0.75,2.68
46086,국고채,1,2.74
46086,국고채,1.5,2.906
46086,국고채,2,2.95
46086,국고채,2.5,3.122
46086,국고채,3,3.18
46086,국고채,4,3.285
46086,국고채,5,3.425
46086,국고채,7,3.538
46086,국고채,10,3.58
